term,page,page_num,chapter,ch_title,formatted
packages!FactoMineR,130,130,5,Dimension Reduction,packages!\texttt{FactoMineR}
tidy(),133,133,5,Dimension Reduction,\texttt{tidy()}
plot(),133,133,5,Dimension Reduction,\texttt{plot()}
ggscreeplot(),133,133,5,Dimension Reduction,\texttt{ggscreeplot()}
augment(),135,135,5,Dimension Reduction,\texttt{augment()}
coord_fixed(),135,135,5,Dimension Reduction,\texttt{coord\_fixed()}
geom_segment(),137,137,5,Dimension Reduction,\texttt{geom\_segment()}
geom_text(),137,137,5,Dimension Reduction,\texttt{geom\_text()}
coord_fixed(),137,137,5,Dimension Reduction,\texttt{coord\_fixed()}
principal components analysis,139,139,5,Dimension Reduction,NA
biplot,139,139,5,Dimension Reduction,NA
singular value decomposition,140,140,5,Dimension Reduction,NA
SVD,140,140,5,Dimension Reduction,NA
biplot(),141,141,5,Dimension Reduction,\texttt{biplot()}
factoextra,142,142,5,Dimension Reduction,\texttt{factoextra} package
packages!factoextra,142,142,5,Dimension Reduction,packages!\texttt{factoextra}
FactoMineR,142,142,5,Dimension Reduction,\texttt{FactoMineR} package
packages!FactoMineR,142,142,5,Dimension Reduction,packages!\texttt{FactoMineR}
fviz_pca(),142,142,5,Dimension Reduction,\texttt{fviz\_pca()}
fviz_ca(),142,142,5,Dimension Reduction,\texttt{fviz\_ca()}
fviz_mca(),142,142,5,Dimension Reduction,\texttt{fviz\_mca()}
fviz_famd(),142,142,5,Dimension Reduction,\texttt{fviz\_famd()}
fviz_cluster(),142,142,5,Dimension Reduction,\texttt{fviz\_cluster()}
adegraphics,142,142,5,Dimension Reduction,\texttt{adegraphics} package
packages!adegraphics,142,142,5,Dimension Reduction,packages!\texttt{adegraphics}
lattice,142,142,5,Dimension Reduction,\texttt{lattice} package
packages!lattice,142,142,5,Dimension Reduction,packages!\texttt{lattice}
ggbiplot,142,142,5,Dimension Reduction,\texttt{ggbiplot} package
packages!ggbiplot,142,142,5,Dimension Reduction,packages!\texttt{ggbiplot}
factoextra,142,142,5,Dimension Reduction,\texttt{factoextra} package
packages!factoextra,142,142,5,Dimension Reduction,packages!\texttt{factoextra}
get_pca_var(),145,145,5,Dimension Reduction,\texttt{get\_pca\_var()}
fviz_contrib(),145,145,5,Dimension Reduction,\texttt{fviz\_contrib()}
fviz_cos2(),145,145,5,Dimension Reduction,\texttt{fviz\_cos2()}
PCA(),148,148,5,Dimension Reduction,\texttt{PCA()}
plot(),149,149,5,Dimension Reduction,\texttt{plot()}
fviz_pca_var(),149,149,5,Dimension Reduction,\texttt{fviz\_pca\_var()}
fviz_pca_biplot(),149,149,5,Dimension Reduction,\texttt{fviz\_pca\_biplot()}
plot(),149,149,5,Dimension Reduction,\texttt{plot()}
Diabetes,150,150,5,Dimension Reduction,\texttt{Diabetes} data
datasets!Diabetes,150,150,5,Dimension Reduction,datasets!\texttt{Diabetes}
scatter3d(),150,150,5,Dimension Reduction,\texttt{scatter3d()}
PRIM-9,150,150,5,Dimension Reduction,NA
scatter3d(),150,150,5,Dimension Reduction,\texttt{scatter3d()}
rgl,150,150,5,Dimension Reduction,\texttt{rgl} package
packages!rgl,150,150,5,Dimension Reduction,packages!\texttt{rgl}
spin3d(),150,150,5,Dimension Reduction,\texttt{spin3d()}
PRIM-9,151,151,5,Dimension Reduction,NA
geom_label(),152,152,5,Dimension Reduction,\texttt{geom\_label()}
biplot,153,153,5,Dimension Reduction,NA
multidimensional scaling,153,153,5,Dimension Reduction,NA
MDS,153,153,5,Dimension Reduction,NA
dist(),154,154,5,Dimension Reduction,\texttt{dist()}
isoMDS(),154,154,5,Dimension Reduction,\texttt{isoMDS()}
vegan,154,154,5,Dimension Reduction,\texttt  {vegan} package
packages!vegan,154,154,5,Dimension Reduction,packages!\texttt  {vegan}
metaMDS(),154,154,5,Dimension Reduction,\texttt  {metaMDS()}
ggscatter(),155,155,5,Dimension Reduction,\texttt{ggscatter()}
multidimensional scaling,156,156,5,Dimension Reduction,NA
t-SNE,156,156,5,Dimension Reduction,NA
Rtsne,158,158,5,Dimension Reduction,\texttt{Rtsne} package
packages!Rtsne,158,158,5,Dimension Reduction,packages!\texttt{Rtsne}
Rtsne(),158,158,5,Dimension Reduction,\texttt{Rtsne()}
gganimate,160,160,5,Dimension Reduction,\texttt{gganimate} package
packages!gganimate,160,160,5,Dimension Reduction,packages!\texttt{gganimate}
transition_states(),160,160,5,Dimension Reduction,\texttt{transition\_states()}
t-SNE,161,161,5,Dimension Reduction,NA
effect ordering,161,161,5,Dimension Reduction,NA
ordering!variables,161,161,5,Dimension Reduction,NA
seriation,161,161,5,Dimension Reduction,\texttt  {seriation} package
packages!seriation,161,161,5,Dimension Reduction,packages!\texttt  {seriation}
corrRect(),163,163,5,Dimension Reduction,\texttt{corrRect()}
effect ordering,164,164,5,Dimension Reduction,NA
ordering!variables,164,164,5,Dimension Reduction,NA
eigenfaces,164,164,5,Dimension Reduction,NA
load.image(),166,166,5,Dimension Reduction,\texttt{load.image()}
pivot_wider(),167,167,5,Dimension Reduction,\texttt{pivot\_wider()}
approx_pca(),168,168,5,Dimension Reduction,\texttt{approx\_pca()}
approx_pca(),169,169,5,Dimension Reduction,\texttt{approx\_pca()}
geom_raster(),169,169,5,Dimension Reduction,\texttt{geom\_raster()}
facet_wrap(),169,169,5,Dimension Reduction,\texttt{facet\_wrap()}
eigenfaces,170,170,5,Dimension Reduction,NA
outliers,171,171,5,Dimension Reduction,NA
interpPlot(),171,171,5,Dimension Reduction,\texttt{interpPlot()}
outliers,174,174,5,Dimension Reduction,NA
lm(),179,179,6,Overview of Linear models,\texttt{lm()}
lm(),179,179,6,Overview of Linear models,\texttt{lm()}
glm(),179,179,6,Overview of Linear models,\texttt{glm()}
general linear model,182,182,6,Overview of Linear models,NA
general linear model,183,183,6,Overview of Linear models,NA
model formulas,183,183,6,Overview of Linear models,NA
lm(),183,183,6,Overview of Linear models,\texttt{lm()}
glm(),183,183,6,Overview of Linear models,\texttt{glm()}
I(),184,184,6,Overview of Linear models,\texttt{I()}
poly(),184,184,6,Overview of Linear models,\texttt{poly()}
model formulas,184,184,6,Overview of Linear models,NA
geom_smooth(),184,184,6,Overview of Linear models,\texttt{geom\_smooth()}
poly(),185,185,6,Overview of Linear models,\texttt{poly()}
poly(),185,185,6,Overview of Linear models,\texttt{poly()}
model formulas!factors,186,186,6,Overview of Linear models,NA
factors,186,186,6,Overview of Linear models,NA
model formulas!crossing,186,186,6,Overview of Linear models,NA
model formulas!powers,186,186,6,Overview of Linear models,NA
terms(),187,187,6,Overview of Linear models,\texttt{terms()}
model formulas!model matrices,187,187,6,Overview of Linear models,NA
lm(),187,187,6,Overview of Linear models,\texttt{lm()}
factors,189,189,6,Overview of Linear models,NA
contrasts,189,189,6,Overview of Linear models,NA
codingMatrices,189,189,6,Overview of Linear models,\texttt{codingMatrices} package
packages!codingMatrices,189,189,6,Overview of Linear models,packages!\texttt{codingMatrices}
contrasts(),189,189,6,Overview of Linear models,\texttt{contrasts()}
relevel(),189,189,6,Overview of Linear models,\texttt{relevel()}
reorder(),189,189,6,Overview of Linear models,\texttt{reorder()}
contrasts!treatment coding,190,190,6,Overview of Linear models,NA
contrasts!treatment coding,191,191,6,Overview of Linear models,NA
contrasts!deviation coding,191,191,6,Overview of Linear models,NA
contrasts!deviation coding,191,191,6,Overview of Linear models,NA
contrasts!Helmert,191,191,6,Overview of Linear models,NA
Helmert contrasts,191,191,6,Overview of Linear models,NA
factors!ordered,191,191,6,Overview of Linear models,NA
contrasts!polynomial,192,192,6,Overview of Linear models,NA
contrasts!polynomial,193,193,6,Overview of Linear models,NA
contrasts!orthogonal,194,194,6,Overview of Linear models,NA
contrasts!nested dichotomies,194,194,6,Overview of Linear models,NA
contrasts,196,196,6,Overview of Linear models,NA
coefficient plots,197,197,7,Plots for Univariate Response Models,NA
added-variable plots,197,197,7,Plots for Univariate Response Models,NA
collinearity,198,198,7,Plots for Univariate Response Models,NA
car,198,198,7,Plots for Univariate Response Models,\texttt{car} package
packages!car,198,198,7,Plots for Univariate Response Models,packages!\texttt{car}
regression quartet,198,198,7,Plots for Univariate Response Models,NA
quartet!regression,198,198,7,Plots for Univariate Response Models,NA
car,199,199,7,Plots for Univariate Response Models,\texttt{car} package
packages!car,199,199,7,Plots for Univariate Response Models,packages!\texttt{car}
performance,199,199,7,Plots for Univariate Response Models,\texttt{performance} package
packages!performance,199,199,7,Plots for Univariate Response Models,packages!\texttt{performance}
easystats,199,199,7,Plots for Univariate Response Models,\texttt{easystats} package
packages!easystats,199,199,7,Plots for Univariate Response Models,packages!\texttt{easystats}
regression quartet,199,199,7,Plots for Univariate Response Models,NA
quartet!regression,199,199,7,Plots for Univariate Response Models,NA
Duncan occupational prestige,199,199,7,Plots for Univariate Response Models,NA
model_parameters(),200,200,7,Plots for Univariate Response Models,\texttt{model\_parameters()}
linearHypothesis(),200,200,7,Plots for Univariate Response Models,\texttt{linearHypothesis()}
Wald test,201,201,7,Plots for Univariate Response Models,NA
Duncan occupational prestige,202,202,7,Plots for Univariate Response Models,NA
regression quartet,202,202,7,Plots for Univariate Response Models,NA
diagnostic plots,202,202,7,Plots for Univariate Response Models,NA
check_model(),203,203,7,Plots for Univariate Response Models,\texttt{check\_model()}
car,203,203,7,Plots for Univariate Response Models,\texttt{car} package
packages!car,203,203,7,Plots for Univariate Response Models,packages!\texttt{car}
diagnostic plots,203,203,7,Plots for Univariate Response Models,NA
Canadian occupational prestige,203,203,7,Plots for Univariate Response Models,NA
Prestige,203,203,7,Plots for Univariate Response Models,\texttt{Prestige} data
datasets!Prestige,203,203,7,Plots for Univariate Response Models,datasets!\texttt{Prestige}
ordering!factor levels,204,204,7,Plots for Univariate Response Models,NA
Canadian occupational prestige,206,206,7,Plots for Univariate Response Models,NA
coeftest(),207,207,7,Plots for Univariate Response Models,\texttt{coeftest()}
tidy(),207,207,7,Plots for Univariate Response Models,\texttt{tidy()}
modelsummary,207,207,7,Plots for Univariate Response Models,\texttt{modelsummary} package
packages!modelsummary,207,207,7,Plots for Univariate Response Models,packages!\texttt{modelsummary}
get_gof(),208,208,7,Plots for Univariate Response Models,\texttt{get\_gof()}
coefficient plots,208,208,7,Plots for Univariate Response Models,NA
scale_y_discrete(),209,209,7,Plots for Univariate Response Models,\texttt{scale\_y\_discrete()}
ggstats,211,211,7,Plots for Univariate Response Models,\texttt{ggstats} package
packages!ggstats,211,211,7,Plots for Univariate Response Models,packages!\texttt{ggstats}
ggcoef_model(),211,211,7,Plots for Univariate Response Models,\texttt{ggcoef\_model()}
ggcoef_compare(),211,211,7,Plots for Univariate Response Models,\texttt{ggcoef\_compare()}
ggcoef_model(),213,213,7,Plots for Univariate Response Models,\texttt{ggcoef\_model()}
coefficient plots,213,213,7,Plots for Univariate Response Models,NA
added-variable plots,214,214,7,Plots for Univariate Response Models,NA
coffee,214,214,7,Plots for Univariate Response Models,\texttt{coffee} data
datasets!coffee,214,214,7,Plots for Univariate Response Models,datasets!\texttt{coffee}
matlib,214,214,7,Plots for Univariate Response Models,\texttt{matlib} package
packages!matlib,214,214,7,Plots for Univariate Response Models,packages!\texttt{matlib}
lsfit(),216,216,7,Plots for Univariate Response Models,\texttt{lsfit()}
avPlot(),217,217,7,Plots for Univariate Response Models,\texttt{avPlot()}
avPlots(),217,217,7,Plots for Univariate Response Models,\texttt{avPlots()}
added-variable plots,218,218,7,Plots for Univariate Response Models,NA
marginal--conditional plots,218,218,7,Plots for Univariate Response Models,NA
mcPlot(),218,218,7,Plots for Univariate Response Models,\texttt{mcPlot()}
mcPlots(),218,218,7,Plots for Univariate Response Models,\texttt{mcPlots()}
Simpson's paradox,218,218,7,Plots for Univariate Response Models,NA
component + residual plots,221,221,7,Plots for Univariate Response Models,NA
crPlots(),221,221,7,Plots for Univariate Response Models,\texttt{crPlots()}
crPlot(),221,221,7,Plots for Univariate Response Models,\texttt{crPlot()}
effect plots,224,224,7,Plots for Univariate Response Models,NA
ggeffects,225,225,7,Plots for Univariate Response Models,\texttt{ggeffects} package
packages!ggeffects,225,225,7,Plots for Univariate Response Models,packages!\texttt{ggeffects}
marginaleffects,225,225,7,Plots for Univariate Response Models,\texttt{marginaleffects} package
packages!marginaleffects,225,225,7,Plots for Univariate Response Models,packages!\texttt{marginaleffects}
effects,225,225,7,Plots for Univariate Response Models,\texttt{effects} package
packages!effects,225,225,7,Plots for Univariate Response Models,packages!\texttt{effects}
lattice,225,225,7,Plots for Univariate Response Models,\texttt{lattice} package
packages!lattice,225,225,7,Plots for Univariate Response Models,packages!\texttt{lattice}
effect plots,229,229,7,Plots for Univariate Response Models,NA
outliers,230,230,7,Plots for Univariate Response Models,NA
leverage,230,230,7,Plots for Univariate Response Models,NA
influence,230,230,7,Plots for Univariate Response Models,NA
Mahalanobis distance,231,231,7,Plots for Univariate Response Models,NA
leverage-influence quartet,231,231,7,Plots for Univariate Response Models,NA
quartet!leverage-influence,231,231,7,Plots for Univariate Response Models,NA
geom_smooth(),232,232,7,Plots for Univariate Response Models,\texttt{geom\_smooth()}
leverage-influence quartet,233,233,7,Plots for Univariate Response Models,NA
quartet!leverage-influence,233,233,7,Plots for Univariate Response Models,NA
Mahalanobis(),235,235,7,Plots for Univariate Response Models,\texttt{Mahalanobis()}
outliers,238,238,7,Plots for Univariate Response Models,NA
leverage,238,238,7,Plots for Univariate Response Models,NA
influence,238,238,7,Plots for Univariate Response Models,NA
influence plots,238,238,7,Plots for Univariate Response Models,NA
influencePlot(),238,238,7,Plots for Univariate Response Models,\texttt{influencePlot()}
influence plots,240,240,7,Plots for Univariate Response Models,NA
added-variable plots!influence,240,240,7,Plots for Univariate Response Models,NA
added-variable plots!influence,241,241,7,Plots for Univariate Response Models,NA
car,242,242,7,Plots for Univariate Response Models,\texttt{car} package
packages!car,242,242,7,Plots for Univariate Response Models,packages!\texttt{car}
performance,242,242,7,Plots for Univariate Response Models,\texttt{performance} package
packages!performance,242,242,7,Plots for Univariate Response Models,packages!\texttt{performance}
data space,244,244,8,Topics in Linear Models,NA
$\beta$ space,244,244,8,Topics in Linear Models,NA
data ellipse,244,244,8,Topics in Linear Models,NA
ordinary least squares,244,244,8,Topics in Linear Models,NA
duality,244,244,8,Topics in Linear Models,NA
confidence ellipse,246,246,8,Topics in Linear Models,NA
confidenceEllipse(),246,246,8,Topics in Linear Models,\texttt{confidenceEllipse()}
simultaneous inference,247,247,8,Topics in Linear Models,NA
Scheff̩ confidence intervals,247,247,8,Topics in Linear Models,NA
Bonferroni correction,247,247,8,Topics in Linear Models,NA
confidence ellipse,248,248,8,Topics in Linear Models,NA
data space,248,248,8,Topics in Linear Models,NA
$\beta$ space,248,248,8,Topics in Linear Models,NA
measurement error,248,248,8,Topics in Linear Models,NA
Gauss-Markov theorem,248,248,8,Topics in Linear Models,NA
ordinary least squares!BLUE,248,248,8,Topics in Linear Models,NA
errors-in-variables,248,248,8,Topics in Linear Models,NA
measurement error quartet,250,250,8,Topics in Linear Models,NA
quartet!measurement error,250,250,8,Topics in Linear Models,NA
attenuation bias,250,250,8,Topics in Linear Models,NA
nest_by(),251,251,8,Topics in Linear Models,\texttt{nest\_by()}
mutate(),251,251,8,Topics in Linear Models,\texttt{mutate()}
measurement error,254,254,8,Topics in Linear Models,NA
uncertainty,254,254,8,Topics in Linear Models,NA
data space,254,254,8,Topics in Linear Models,NA
$\beta$ space,254,254,8,Topics in Linear Models,NA
measurement error,255,255,8,Topics in Linear Models,NA
VisCollin,257,257,9,Collinearity & Ridge Regression,\texttt{VisCollin} package
packages!VisCollin,257,257,9,Collinearity & Ridge Regression,packages!\texttt{VisCollin}
collinearity,257,257,9,Collinearity & Ridge Regression,NA
tableplots,257,257,9,Collinearity & Ridge Regression,NA
genridge,257,257,9,Collinearity & Ridge Regression,\texttt{genridge} package
packages!genridge,257,257,9,Collinearity & Ridge Regression,packages!\texttt{genridge}
collinearity,258,258,9,Collinearity & Ridge Regression,NA
ipsatized scores,260,260,9,Collinearity & Ridge Regression,NA
data space,261,261,9,Collinearity & Ridge Regression,NA
$\beta$ space,261,261,9,Collinearity & Ridge Regression,NA
dataEllipse(),262,262,9,Collinearity & Ridge Regression,\texttt{dataEllipse()}
confidenceEllipse(),262,262,9,Collinearity & Ridge Regression,\texttt{confidenceEllipse()}
variance inflation factor,264,264,9,Collinearity & Ridge Regression,NA
VIF,264,264,9,Collinearity & Ridge Regression,NA
collinearity!variance inflation factor,264,264,9,Collinearity & Ridge Regression,NA
variance inflation factor!generalized,265,265,9,Collinearity & Ridge Regression,NA
vif(),265,265,9,Collinearity & Ridge Regression,\texttt{vif()}
vif(),266,266,9,Collinearity & Ridge Regression,\texttt{vif()}
variance inflation factor,266,266,9,Collinearity & Ridge Regression,NA
VIF,266,266,9,Collinearity & Ridge Regression,NA
variance inflation factor!plot,267,267,9,Collinearity & Ridge Regression,NA
vif(),267,267,9,Collinearity & Ridge Regression,\texttt{vif()}
easystats,267,267,9,Collinearity & Ridge Regression,\texttt{easystats} package
packages!easystats,267,267,9,Collinearity & Ridge Regression,packages!\texttt{easystats}
check_collinearity(),267,267,9,Collinearity & Ridge Regression,\texttt{check\_collinearity()}
condition indices,268,268,9,Collinearity & Ridge Regression,NA
colldiag(),269,269,9,Collinearity & Ridge Regression,\texttt{colldiag()}
tableplots,270,270,9,Collinearity & Ridge Regression,NA
tableplots,270,270,9,Collinearity & Ridge Regression,NA
collinearity!biplot,271,271,9,Collinearity & Ridge Regression,NA
biplot!collinearity,271,271,9,Collinearity & Ridge Regression,NA
fviz_pca_biplot(),272,272,9,Collinearity & Ridge Regression,\texttt{fviz\_pca\_biplot()}
geom_text_repel(),272,272,9,Collinearity & Ridge Regression,\texttt{geom\_text\_repel()}
outliers,273,273,9,Collinearity & Ridge Regression,NA
collinearity!biplot,273,273,9,Collinearity & Ridge Regression,NA
biplot!collinearity,273,273,9,Collinearity & Ridge Regression,NA
collinearity!remedies for,274,274,9,Collinearity & Ridge Regression,NA
genridge,275,275,9,Collinearity & Ridge Regression,\texttt{genridge} package
packages!genridge,275,275,9,Collinearity & Ridge Regression,packages!\texttt{genridge}
centering!effect on collinearity,275,275,9,Collinearity & Ridge Regression,NA
collinearity!centering,275,275,9,Collinearity & Ridge Regression,NA
centering!effect on collinearity,276,276,9,Collinearity & Ridge Regression,NA
collinearity!centering,276,276,9,Collinearity & Ridge Regression,NA
Acetylene,277,277,9,Collinearity & Ridge Regression,\texttt{Acetylene} data
datasets!Acetylene,277,277,9,Collinearity & Ridge Regression,datasets!\texttt{Acetylene}
genridge,277,277,9,Collinearity & Ridge Regression,\texttt{genridge} package
packages!genridge,277,277,9,Collinearity & Ridge Regression,packages!\texttt{genridge}
rsm,277,277,9,Collinearity & Ridge Regression,\texttt  {rsm} package
packages!rsm,277,277,9,Collinearity & Ridge Regression,packages!\texttt  {rsm}
vif(),278,278,9,Collinearity & Ridge Regression,\texttt{vif()}
collinearity!remedies for,278,278,9,Collinearity & Ridge Regression,NA
collinearity,278,278,9,Collinearity & Ridge Regression,NA
ridge regression,278,278,9,Collinearity & Ridge Regression,NA
bias!ridge regression,278,278,9,Collinearity & Ridge Regression,NA
model selection,278,278,9,Collinearity & Ridge Regression,NA
LASSO,279,279,9,Collinearity & Ridge Regression,NA
LAR regression,279,279,9,Collinearity & Ridge Regression,NA
ridge trace plots!univariate,279,279,9,Collinearity & Ridge Regression,NA
locus of osculation,280,280,9,Collinearity & Ridge Regression,NA
ellipses!locus of osculation,280,280,9,Collinearity & Ridge Regression,NA
singular value decomposition,281,281,9,Collinearity & Ridge Regression,NA
MASS,281,281,9,Collinearity & Ridge Regression,\texttt{MASS} package
packages!MASS,281,281,9,Collinearity & Ridge Regression,packages!\texttt{MASS}
glmnet,281,281,9,Collinearity & Ridge Regression,\texttt{glmnet} package
packages!glmnet,281,281,9,Collinearity & Ridge Regression,packages!\texttt{glmnet}
penalized,281,281,9,Collinearity & Ridge Regression,\texttt{penalized} package
packages!penalized,281,281,9,Collinearity & Ridge Regression,packages!\texttt{penalized}
glmnet(),281,281,9,Collinearity & Ridge Regression,\texttt{glmnet()}
genridge,282,282,9,Collinearity & Ridge Regression,\texttt{genridge} package
packages!genridge,282,282,9,Collinearity & Ridge Regression,packages!\texttt{genridge}
ridge trace plots!univariate,282,282,9,Collinearity & Ridge Regression,NA
longley,282,282,9,Collinearity & Ridge Regression,\texttt{longley} data
datasets!longley,282,282,9,Collinearity & Ridge Regression,datasets!\texttt{longley}
LASSO,284,284,9,Collinearity & Ridge Regression,NA
model selection,284,284,9,Collinearity & Ridge Regression,NA
best subset regression,284,284,9,Collinearity & Ridge Regression,NA
ridge trace plots!univariate,285,285,9,Collinearity & Ridge Regression,NA
ridge trace plots!bivariate,285,285,9,Collinearity & Ridge Regression,NA
ridge trace plots!bivariate,286,286,9,Collinearity & Ridge Regression,NA
pca(),290,290,9,Collinearity & Ridge Regression,\texttt{pca()}
singular value decomposition,290,290,9,Collinearity & Ridge Regression,NA
ridge regression!biplot,290,290,9,Collinearity & Ridge Regression,NA
biplot!ridge regression,290,290,9,Collinearity & Ridge Regression,NA
ridge regression!biplot,291,291,9,Collinearity & Ridge Regression,NA
biplot!ridge regression,291,291,9,Collinearity & Ridge Regression,NA
ridge regression,291,291,9,Collinearity & Ridge Regression,NA
uncertainty,292,292,9,Collinearity & Ridge Regression,NA
Hotelling $T^2$,297,297,10,Hotelling's T^2,NA
variance-covariance matrix,298,298,10,Hotelling's T^2,NA
Mahalanobis distance,298,298,10,Hotelling's T^2,NA
linear combination,299,299,10,Hotelling's T^2,NA
eigenvalue,299,299,10,Hotelling's T^2,NA
Wilks lambda,299,299,10,Hotelling's T^2,NA
Pillai trace,299,299,10,Hotelling's T^2,NA
Roy maximum root test,299,299,10,Hotelling's T^2,NA
eigenvector,300,300,10,Hotelling's T^2,NA
discriminant analysis!coefficients,300,300,10,Hotelling's T^2,NA
exact test,300,300,10,Hotelling's T^2,NA
invariance!linear transformation,300,300,10,Hotelling's T^2,NA
pooled covariance matrix,300,300,10,Hotelling's T^2,NA
mathscore,300,300,10,Hotelling's T^2,\texttt{mathscore} data
datasets!mathscore,300,300,10,Hotelling's T^2,datasets!\texttt{mathscore}
heplots,300,300,10,Hotelling's T^2,\texttt{heplots} package
packages!heplots,300,300,10,Hotelling's T^2,packages!\texttt{heplots}
hotelling.test(),301,301,10,Hotelling's T^2,\texttt{hotelling.test()}
Anova(),301,301,10,Hotelling's T^2,\texttt{Anova()}
tidy.mlm(),301,301,10,Hotelling's T^2,\texttt{tidy.mlm()}
covEllipses(),302,302,10,Hotelling's T^2,\texttt{covEllipses()}
data ellipse,302,302,10,Hotelling's T^2,NA
