term,page,page_num,chapter,ch_title,formatted
discriminant analysis!axis,303,303,10,Hotelling's T^2,NA
Hotelling $T^2$,303,303,10,Hotelling's T^2,NA
HE plot,303,303,10,Hotelling's T^2,NA
hypothesis matrix,304,304,10,Hotelling's T^2,NA
sum of squares and products,304,304,10,Hotelling's T^2,NA
error matrix,305,305,10,Hotelling's T^2,NA
heplot(),305,305,10,Hotelling's T^2,\texttt{heplot()}
visual test of significance,305,305,10,Hotelling's T^2,NA
project_on(),306,306,10,Hotelling's T^2,\texttt{project\_on()}
HE plot,307,307,10,Hotelling's T^2,NA
discriminant analysis,307,307,10,Hotelling's T^2,NA
MASS,307,307,10,Hotelling's T^2,\texttt{MASS} package
packages!MASS,307,307,10,Hotelling's T^2,packages!\texttt{MASS}
discriminant analysis!linear,307,307,10,Hotelling's T^2,NA
prior probabilities,307,307,10,Hotelling's T^2,NA
discriminant analysis!scores,308,308,10,Hotelling's T^2,NA
violin plot,309,309,10,Hotelling's T^2,NA
discriminant analysis,309,309,10,Hotelling's T^2,NA
banknote,310,310,10,Hotelling's T^2,\texttt{banknote} data
datasets!banknote,310,310,10,Hotelling's T^2,datasets!\texttt{banknote}
mclust,310,310,10,Hotelling's T^2,\texttt{mclust} package
packages!mclust,310,310,10,Hotelling's T^2,packages!\texttt{mclust}
geom_jitter(),311,311,10,Hotelling's T^2,\texttt{geom\_jitter()}
biplot,312,312,10,Hotelling's T^2,NA
biplot,312,312,10,Hotelling's T^2,NA
multivariate test statistics,313,313,10,Hotelling's T^2,NA
Pillai trace,313,313,10,Hotelling's T^2,NA
Wilks lambda,313,313,10,Hotelling's T^2,NA
tidy.mlm(),314,314,10,Hotelling's T^2,\texttt{tidy.mlm()}
$\eta^2$,314,314,10,Hotelling's T^2,NA
coefficient of determination,314,314,10,Hotelling's T^2,NA
uniStats(),314,314,10,Hotelling's T^2,\texttt  {uniStats()}
etasq(),315,315,10,Hotelling's T^2,\texttt{etasq()}
effect size,315,315,10,Hotelling's T^2,NA
canonical discriminant analysis,315,315,10,Hotelling's T^2,NA
HE framework,315,315,10,Hotelling's T^2,NA
canonical space,315,315,10,Hotelling's T^2,NA
etasq(),315,315,10,Hotelling's T^2,\texttt  {etasq()}
eta_squared(),315,315,10,Hotelling's T^2,\texttt  {eta\_squared()}
multivariate linear model,319,319,11,Multivariate Linear Models,NA
VGAM,319,319,11,Multivariate Linear Models,\texttt  {VGAM} package
packages!VGAM,319,319,11,Multivariate Linear Models,packages!\texttt  {VGAM}
model matrix,321,321,11,Multivariate Linear Models,NA
multivariate linear model!assumptions,322,322,11,Multivariate Linear Models,NA
MVN,322,322,11,Multivariate Linear Models,\texttt{MVN} package
packages!MVN,322,322,11,Multivariate Linear Models,packages!\texttt{MVN}
cqplot(),322,322,11,Multivariate Linear Models,\texttt{cqplot()}
exogeneity,323,323,11,Multivariate Linear Models,NA
multivariate linear model!fitting,323,323,11,Multivariate Linear Models,NA
rlm(),324,324,11,Multivariate Linear Models,\texttt{rlm()}
robmlm(),324,324,11,Multivariate Linear Models,\texttt{robmlm()}
dogfood,324,324,11,Multivariate Linear Models,\texttt{dogfood} data
datasets!dogfood,324,324,11,Multivariate Linear Models,datasets!\texttt{dogfood}
Anova(),325,325,11,Multivariate Linear Models,\texttt{Anova()}
multivariate linear model!sums of squares,326,326,11,Multivariate Linear Models,NA
Anova(),327,327,11,Multivariate Linear Models,\texttt{Anova()}
multivariate linear model!test statistics,330,330,11,Multivariate Linear Models,NA
Anova(),331,331,11,Multivariate Linear Models,\texttt{Anova()}
etasq(),331,331,11,Multivariate Linear Models,\texttt{etasq()}
"eta squared, $\eta^2$",331,331,11,Multivariate Linear Models,NA
effect size,331,331,11,Multivariate Linear Models,NA
contrasts,331,331,11,Multivariate Linear Models,NA
linear hypotheses,331,331,11,Multivariate Linear Models,NA
nested dichotomies,332,332,11,Multivariate Linear Models,NA
linearHypothesis(),333,333,11,Multivariate Linear Models,\texttt{linearHypothesis()}
multivariate linear model,334,334,11,Multivariate Linear Models,NA
MANOVA,334,334,11,Multivariate Linear Models,NA
Parenting,336,336,11,Multivariate Linear Models,\texttt{Parenting} data
datasets!Parenting,336,336,11,Multivariate Linear Models,datasets!\texttt{Parenting}
summary.aov(),339,339,11,Multivariate Linear Models,\texttt{summary.aov()}
glance(),340,340,11,Multivariate Linear Models,\texttt{glance()}
Anova(),340,340,11,Multivariate Linear Models,\texttt{Anova()}
pluck(),341,341,11,Multivariate Linear Models,\texttt{pluck()}
linearHypothesis(),341,341,11,Multivariate Linear Models,\texttt{linearHypothesis()}
AddHealth,343,343,11,Multivariate Linear Models,\texttt{AddHealth} data
datasets!AddHealth,343,343,11,Multivariate Linear Models,datasets!\texttt{AddHealth}
Anova(),346,346,11,Multivariate Linear Models,\texttt{Anova()}
linearHypothesis(),346,346,11,Multivariate Linear Models,\texttt{linearHypothesis()}
MANOVA!factorial,348,348,11,Multivariate Linear Models,NA
uniStats(),349,349,11,Multivariate Linear Models,\texttt{uniStats()}
glance.mlm(),349,349,11,Multivariate Linear Models,\texttt{glance.mlm()}
ggplot2,349,349,11,Multivariate Linear Models,\texttt{ggplot2} package
packages!ggplot2,349,349,11,Multivariate Linear Models,packages!\texttt{ggplot2}
geom_errorbar(),349,349,11,Multivariate Linear Models,\texttt{geom\_errorbar()}
ggline(),349,349,11,Multivariate Linear Models,\texttt{ggline()}
geom_pwc(),349,349,11,Multivariate Linear Models,\texttt  {geom\_pwc()}
ggdist,349,349,11,Multivariate Linear Models,\texttt  {ggdist} package
packages!ggdist,349,349,11,Multivariate Linear Models,packages!\texttt  {ggdist}
uncertainty,349,349,11,Multivariate Linear Models,NA
MockJury,351,351,11,Multivariate Linear Models,\texttt{MockJury} data
datasets!MockJury,351,351,11,Multivariate Linear Models,datasets!\texttt{MockJury}
heplots,351,351,11,Multivariate Linear Models,\texttt{heplots} package
packages!heplots,351,351,11,Multivariate Linear Models,packages!\texttt{heplots}
MANOVA!factorial,352,352,11,Multivariate Linear Models,NA
MANOVA,352,352,11,Multivariate Linear Models,NA
multiple regression!multivariate,352,352,11,Multivariate Linear Models,NA
NLSY,353,353,11,Multivariate Linear Models,\texttt{NLSY} data
datasets!NLSY,353,353,11,Multivariate Linear Models,datasets!\texttt{NLSY}
noteworthy(),355,355,11,Multivariate Linear Models,\texttt{noteworthy()}
heplots,357,357,11,Multivariate Linear Models,\texttt{heplots} package
packages!heplots,357,357,11,Multivariate Linear Models,packages!\texttt{heplots}
coefplot.mlm(),357,357,11,Multivariate Linear Models,\texttt{coefplot.mlm()}
schooldata,360,360,11,Multivariate Linear Models,\texttt{schooldata} data
datasets!schooldata,360,360,11,Multivariate Linear Models,datasets!\texttt{schooldata}
schoolsites,360,360,11,Multivariate Linear Models,\texttt  {schoolsites} data
datasets!schoolsites,360,360,11,Multivariate Linear Models,datasets!\texttt  {schoolsites}
GGally,360,360,11,Multivariate Linear Models,\texttt  {GGally} package
packages!GGally,360,360,11,Multivariate Linear Models,packages!\texttt  {GGally}
multiple regression!multivariate,363,363,11,Multivariate Linear Models,NA
diagnostic plots!multivariate,363,363,11,Multivariate Linear Models,NA
multivariate normality,364,364,11,Multivariate Linear Models,NA
MVN,364,364,11,Multivariate Linear Models,\texttt{MVN} package
packages!MVN,364,364,11,Multivariate Linear Models,packages!\texttt{MVN}
multivariate normality,365,365,11,Multivariate Linear Models,NA
Mahalanobis distance,365,365,11,Multivariate Linear Models,NA
distance plot,365,365,11,Multivariate Linear Models,NA
distPlot(),365,365,11,Multivariate Linear Models,\texttt{distPlot()}
robust estimation,366,366,11,Multivariate Linear Models,NA
influence!multivariate,366,366,11,Multivariate Linear Models,NA
mvinfluence,366,366,11,Multivariate Linear Models,\texttt{mvinfluence} package
packages!mvinfluence,366,366,11,Multivariate Linear Models,packages!\texttt{mvinfluence}
influence!multivariate,368,368,11,Multivariate Linear Models,NA
diagnostic plots!multivariate,368,368,11,Multivariate Linear Models,NA
ANCOVA,368,368,11,Multivariate Linear Models,NA
MANCOVA,368,368,11,Multivariate Linear Models,NA
Rohwer,370,370,11,Multivariate Linear Models,\texttt{Rohwer} data
datasets!Rohwer,370,370,11,Multivariate Linear Models,datasets!\texttt{Rohwer}
uniStats(),372,372,11,Multivariate Linear Models,\texttt{uniStats()}
MANCOVA!adjusted means,373,373,11,Multivariate Linear Models,NA
MANCOVA!homogeneity of regression,374,374,11,Multivariate Linear Models,NA
MANCOVA!homogeneity of regression,374,374,11,Multivariate Linear Models,NA
MANCOVA,375,375,11,Multivariate Linear Models,NA
HE plot,378,378,12,Visualizing Multivariate Models,NA
contrasts,378,378,12,Visualizing Multivariate Models,NA
canonical discriminant analysis,378,378,12,Visualizing Multivariate Models,NA
heplots,378,378,12,Visualizing Multivariate Models,\texttt{heplots} package
packages!heplots,378,378,12,Visualizing Multivariate Models,packages!\texttt{heplots}
candisc,378,378,12,Visualizing Multivariate Models,\texttt{candisc} package
packages!candisc,378,378,12,Visualizing Multivariate Models,packages!\texttt{candisc}
heplots,378,378,12,Visualizing Multivariate Models,\texttt{heplots} package
packages!heplots,378,378,12,Visualizing Multivariate Models,packages!\texttt{heplots}
heplots,378,378,12,Visualizing Multivariate Models,\texttt  {heplots} package
packages!heplots,378,378,12,Visualizing Multivariate Models,packages!\texttt  {heplots}
dogfood,379,379,12,Visualizing Multivariate Models,\texttt{dogfood} data
datasets!dogfood,379,379,12,Visualizing Multivariate Models,datasets!\texttt{dogfood}
quartets!dogfood,379,379,12,Visualizing Multivariate Models,NA
data space,379,379,12,Visualizing Multivariate Models,NA
canonical space,380,380,12,Visualizing Multivariate Models,NA
sum of squares and products,380,380,12,Visualizing Multivariate Models,NA
effect size scaling,381,381,12,Visualizing Multivariate Models,NA
significance scaling,381,381,12,Visualizing Multivariate Models,NA
glance(),385,385,12,Visualizing Multivariate Models,\texttt{glance()}
uniStats(),385,385,12,Visualizing Multivariate Models,\texttt{uniStats()}
etasq(),385,385,12,Visualizing Multivariate Models,\texttt{etasq()}
significance scaling,386,386,12,Visualizing Multivariate Models,NA
visual test of significance,386,386,12,Visualizing Multivariate Models,NA
Roy maximum root test,387,387,12,Visualizing Multivariate Models,NA
significance scaling,387,387,12,Visualizing Multivariate Models,NA
linear hypothesis,387,387,12,Visualizing Multivariate Models,NA
orthogonal contrasts,387,387,12,Visualizing Multivariate Models,NA
linearHypothesis(),387,387,12,Visualizing Multivariate Models,\texttt{linearHypothesis()}
heplot(),387,387,12,Visualizing Multivariate Models,\texttt{heplot()}
heplots,389,389,12,Visualizing Multivariate Models,\texttt{heplots} package
packages!heplots,389,389,12,Visualizing Multivariate Models,packages!\texttt{heplots}
HE plot!matrix,389,389,12,Visualizing Multivariate Models,NA
conjugate axes,389,389,12,Visualizing Multivariate Models,NA
canonical discriminant analysis,391,391,12,Visualizing Multivariate Models,NA
candisc,391,391,12,Visualizing Multivariate Models,\texttt{candisc} package
packages!candisc,391,391,12,Visualizing Multivariate Models,packages!\texttt{candisc}
Wilks lambda,391,391,12,Visualizing Multivariate Models,NA
canonical correlation,392,392,12,Visualizing Multivariate Models,NA
canonical structure coefficients,392,392,12,Visualizing Multivariate Models,NA
canonical scores,393,393,12,Visualizing Multivariate Models,NA
canonical discriminant analysis,395,395,12,Visualizing Multivariate Models,NA
factorial MANOVA,396,396,12,Visualizing Multivariate Models,NA
MANOVA!factorial,396,396,12,Visualizing Multivariate Models,NA
interaction,396,396,12,Visualizing Multivariate Models,NA
termMeans(),396,396,12,Visualizing Multivariate Models,\texttt{termMeans()}
lines(),396,396,12,Visualizing Multivariate Models,\texttt{lines()}
factorial MANOVA,401,401,12,Visualizing Multivariate Models,NA
multivariate multiple regression,401,401,12,Visualizing Multivariate Models,NA
joint linear hypothesis,401,401,12,Visualizing Multivariate Models,NA
roblm(),403,403,12,Visualizing Multivariate Models,\texttt  {roblm()}
multivariate multiple regression,405,405,12,Visualizing Multivariate Models,NA
canonical correlation analysis,405,405,12,Visualizing Multivariate Models,NA
canonical variates,406,406,12,Visualizing Multivariate Models,NA
eigenvalue!generalized,407,407,12,Visualizing Multivariate Models,NA
cancor(),407,407,12,Visualizing Multivariate Models,\texttt{cancor()}
canonical correlation analysis,410,410,12,Visualizing Multivariate Models,NA
MANCOVA,411,411,12,Visualizing Multivariate Models,NA
homogeneity of regression,413,413,12,Visualizing Multivariate Models,NA
heterogeneous regression,413,413,12,Visualizing Multivariate Models,NA
MANCOVA,414,414,12,Visualizing Multivariate Models,NA
covariance matrices!equality,417,417,13,Visualizing Equality of Covariance Matrices,NA
covariance matrices!heterogeneity,417,417,13,Visualizing Equality of Covariance Matrices,NA
discriminant analysis!quadratic,417,417,13,Visualizing Equality of Covariance Matrices,NA
heplots,418,418,13,Visualizing Equality of Covariance Matrices,\texttt{heplots} package
packages!heplots,418,418,13,Visualizing Equality of Covariance Matrices,packages!\texttt{heplots}
homogeneity of variance,418,418,13,Visualizing Equality of Covariance Matrices,NA
Levene's test,419,419,13,Visualizing Equality of Covariance Matrices,NA
Brown-Forsythe test,419,419,13,Visualizing Equality of Covariance Matrices,NA
colDevs(),419,419,13,Visualizing Equality of Covariance Matrices,\texttt{colDevs()}
leveneTest(),419,419,13,Visualizing Equality of Covariance Matrices,\texttt{leveneTest()}
Levene's test,422,422,13,Visualizing Equality of Covariance Matrices,NA
data ellipse,423,423,13,Visualizing Equality of Covariance Matrices,NA
peng,423,423,13,Visualizing Equality of Covariance Matrices,\texttt{peng} data
datasets!peng,423,423,13,Visualizing Equality of Covariance Matrices,datasets!\texttt{peng}
covEllipses(),423,423,13,Visualizing Equality of Covariance Matrices,\texttt{covEllipses()}
centered ellipses,423,423,13,Visualizing Equality of Covariance Matrices,NA
pooled covariance matrix,423,423,13,Visualizing Equality of Covariance Matrices,NA
peng,424,424,13,Visualizing Equality of Covariance Matrices,\texttt{peng} data
datasets!peng,424,424,13,Visualizing Equality of Covariance Matrices,datasets!\texttt{peng}
Box's M test,426,426,13,Visualizing Equality of Covariance Matrices,NA
likelihood-ratio test,426,426,13,Visualizing Equality of Covariance Matrices,NA
log determinant,426,426,13,Visualizing Equality of Covariance Matrices,NA
principal components,429,429,13,Visualizing Equality of Covariance Matrices,NA
generalized variance,431,431,13,Visualizing Equality of Covariance Matrices,NA
precision matrix,431,431,13,Visualizing Equality of Covariance Matrices,NA
eigenvalue!maximum,431,431,13,Visualizing Equality of Covariance Matrices,NA
heplots,431,431,13,Visualizing Equality of Covariance Matrices,\texttt{heplots} package
packages!heplots,431,431,13,Visualizing Equality of Covariance Matrices,packages!\texttt{heplots}
heplots,432,432,13,Visualizing Equality of Covariance Matrices,\texttt{heplots} package
packages!heplots,432,432,13,Visualizing Equality of Covariance Matrices,packages!\texttt{heplots}
Box's M test,433,433,13,Visualizing Equality of Covariance Matrices,NA
Levene's test!multivariate,433,433,13,Visualizing Equality of Covariance Matrices,NA
MANOVA,433,433,13,Visualizing Equality of Covariance Matrices,NA
HE plot,433,433,13,Visualizing Equality of Covariance Matrices,NA
canonical discriminant analysis,433,433,13,Visualizing Equality of Covariance Matrices,NA
canonical structure coefficients,435,435,13,Visualizing Equality of Covariance Matrices,NA
canonical discriminant analysis,435,435,13,Visualizing Equality of Covariance Matrices,NA
Levene's test!multivariate,435,435,13,Visualizing Equality of Covariance Matrices,NA
covariance matrices!equality,435,435,13,Visualizing Equality of Covariance Matrices,NA
covariance matrices!heterogeneity,435,435,13,Visualizing Equality of Covariance Matrices,NA
influential observations,437,437,14,Multivariate Influence and Robust Estimation,NA
outliers,437,437,14,Multivariate Influence and Robust Estimation,NA
stats,437,437,14,Multivariate Influence and Robust Estimation,\texttt{stats} package
packages!stats,437,437,14,Multivariate Influence and Robust Estimation,packages!\texttt{stats}
car,437,437,14,Multivariate Influence and Robust Estimation,\texttt{car} package
packages!car,437,437,14,Multivariate Influence and Robust Estimation,packages!\texttt{car}
olsrr,437,437,14,Multivariate Influence and Robust Estimation,\texttt  {olsrr} package
packages!olsrr,437,437,14,Multivariate Influence and Robust Estimation,packages!\texttt  {olsrr}
HLMdiag,437,437,14,Multivariate Influence and Robust Estimation,\texttt  {HLMdiag} package
packages!HLMdiag,437,437,14,Multivariate Influence and Robust Estimation,packages!\texttt  {HLMdiag}
hlm_influence(),437,437,14,Multivariate Influence and Robust Estimation,\texttt  {hlm\_influence()}
hlm_augment(),437,437,14,Multivariate Influence and Robust Estimation,\texttt  {hlm\_augment()}
mvinfluence,438,438,14,Multivariate Influence and Robust Estimation,\texttt{mvinfluence} package
packages!mvinfluence,438,438,14,Multivariate Influence and Robust Estimation,packages!\texttt{mvinfluence}
case deletion,438,438,14,Multivariate Influence and Robust Estimation,NA
hat matrix,439,439,14,Multivariate Influence and Robust Estimation,NA
leverage,439,439,14,Multivariate Influence and Robust Estimation,NA
Cook's distance,439,439,14,Multivariate Influence and Robust Estimation,NA
Cook's distance,439,439,14,Multivariate Influence and Robust Estimation,NA
Cook's distance!multivariate,439,439,14,Multivariate Influence and Robust Estimation,NA
studentized residuals,440,440,14,Multivariate Influence and Robust Estimation,NA
mvinfluence,440,440,14,Multivariate Influence and Robust Estimation,\texttt{mvinfluence} package
packages!mvinfluence,440,440,14,Multivariate Influence and Robust Estimation,packages!\texttt{mvinfluence}
cooks.distance.lm(),441,441,14,Multivariate Influence and Robust Estimation,\texttt{cooks.distance.lm()}
cooks.distance.mlm(),441,441,14,Multivariate Influence and Robust Estimation,\texttt{cooks.distance.mlm()}
influence plot,442,442,14,Multivariate Influence and Robust Estimation,NA
influencePlot.mlm(),442,442,14,Multivariate Influence and Robust Estimation,\texttt{influencePlot.mlm()}
DFBETAS,444,444,14,Multivariate Influence and Robust Estimation,NA
dfbetas(),444,444,14,Multivariate Influence and Robust Estimation,\texttt{dfbetas()}
Cook's distance,445,445,14,Multivariate Influence and Robust Estimation,NA
NLSY,445,445,14,Multivariate Influence and Robust Estimation,\texttt{NLSY} data
datasets!NLSY,445,445,14,Multivariate Influence and Robust Estimation,datasets!\texttt{NLSY}
heplots,445,445,14,Multivariate Influence and Robust Estimation,\texttt{heplots} package
packages!heplots,445,445,14,Multivariate Influence and Robust Estimation,packages!\texttt{heplots}
influential observations,448,448,14,Multivariate Influence and Robust Estimation,NA
robust estimation,449,449,14,Multivariate Influence and Robust Estimation,NA
weighted least squares,449,449,14,Multivariate Influence and Robust Estimation,NA
robust estimation!S-estimator,449,449,14,Multivariate Influence and Robust Estimation,NA
robust estimation!MM-estimator,449,449,14,Multivariate Influence and Robust Estimation,NA
M-estimators,450,450,14,Multivariate Influence and Robust Estimation,NA
robmlm(),450,450,14,Multivariate Influence and Robust Estimation,\texttt{robmlm()}
biweight function,450,450,14,Multivariate Influence and Robust Estimation,NA
psi.bisquare(),450,450,14,Multivariate Influence and Robust Estimation,\texttt{psi.bisquare()}
iteratively reweighted least squares,450,450,14,Multivariate Influence and Robust Estimation,NA
robmlm(),450,450,14,Multivariate Influence and Robust Estimation,\texttt{robmlm()}
rlm(),450,450,14,Multivariate Influence and Robust Estimation,\texttt{rlm()}
rel_diff(),451,451,14,Multivariate Influence and Robust Estimation,\texttt{rel\_diff()}
robust estimation,452,452,14,Multivariate Influence and Robust Estimation,NA
lm(),455,455,15,Discriminant analysis,\texttt{lm()}
lda(),455,455,15,Discriminant analysis,\texttt{lda()}
candisc(),456,456,15,Discriminant analysis,\texttt  {candisc()}
candiscList(),456,456,15,Discriminant analysis,\texttt  {candiscList()}
qda(),458,458,15,Discriminant analysis,\texttt{qda()}
mda,458,458,15,Discriminant analysis,\texttt  {mda} package
packages!mda,458,458,15,Discriminant analysis,packages!\texttt  {mda}
mda(),458,458,15,Discriminant analysis,\texttt  {mda()}
fda(),458,458,15,Discriminant analysis,\texttt  {fda()}
lda(),458,458,15,Discriminant analysis,\texttt  {lda()}
lda(),460,460,15,Discriminant analysis,\texttt{lda()}
predict.lda(),461,461,15,Discriminant analysis,\texttt{predict.lda()}
cross validatation,462,462,15,Discriminant analysis,NA
MASS,463,463,15,Discriminant analysis,\texttt{MASS} package
packages!MASS,463,463,15,Discriminant analysis,packages!\texttt{MASS}
candisc,463,463,15,Discriminant analysis,\texttt{candisc} package
packages!candisc,463,463,15,Discriminant analysis,packages!\texttt{candisc}
predict_discrim(),463,463,15,Discriminant analysis,\texttt{predict\_discrim()}
predict.lda(),463,463,15,Discriminant analysis,\texttt{predict.lda()}
cor_lda(),463,463,15,Discriminant analysis,\texttt{cor\_lda()}
scores.lda(),463,463,15,Discriminant analysis,\texttt{scores.lda()}
scores(),463,463,15,Discriminant analysis,\texttt{scores()}
predict_discrim(),463,463,15,Discriminant analysis,\texttt{predict\_discrim()}
geom_text(),464,464,15,Discriminant analysis,\texttt{geom\_text()}
geom_label(),464,464,15,Discriminant analysis,\texttt{geom\_label()}
geom_label(),464,464,15,Discriminant analysis,\texttt{geom\_label()}
predict_discrim(),464,464,15,Discriminant analysis,\texttt{predict\_discrim()}
MASS,465,465,15,Discriminant analysis,\texttt{MASS} package
packages!MASS,465,465,15,Discriminant analysis,packages!\texttt{MASS}
plot.lda(),465,465,15,Discriminant analysis,\texttt{plot.lda()}
predict_discrim(),465,465,15,Discriminant analysis,\texttt{predict\_discrim()}
predict_discrim(),468,468,15,Discriminant analysis,\texttt{predict\_discrim()}
dataEllipse(),468,468,15,Discriminant analysis,\texttt{dataEllipse()}
geom_tile(),468,468,15,Discriminant analysis,\texttt{geom\_tile()}
geom_contour(),468,468,15,Discriminant analysis,\texttt{geom\_contour()}
partimat(),469,469,15,Discriminant analysis,\texttt{partimat()}
lda(),469,469,15,Discriminant analysis,\texttt{lda()}
qda(),469,469,15,Discriminant analysis,\texttt{qda()}
rpart(),469,469,15,Discriminant analysis,\texttt{rpart()}
naiveBayes(),469,469,15,Discriminant analysis,\texttt{naiveBayes()}
ggplot2,469,469,15,Discriminant analysis,\texttt{ggplot2} package
packages!ggplot2,469,469,15,Discriminant analysis,packages!\texttt{ggplot2}
datagrid(),469,469,15,Discriminant analysis,\texttt{datagrid()}
partimat(),469,469,15,Discriminant analysis,\texttt  {partimat()}
geom_tile(),470,470,15,Discriminant analysis,\texttt{geom\_tile()}
plot_discrim(),472,472,15,Discriminant analysis,\texttt{plot\_discrim()}
geom_vector(),475,475,15,Discriminant analysis,\texttt{geom\_vector()}
coord_equal(),475,475,15,Discriminant analysis,\texttt{coord\_equal()}
candisc,476,476,15,Discriminant analysis,\texttt{candisc} package
packages!candisc,476,476,15,Discriminant analysis,packages!\texttt{candisc}
qda(),479,479,15,Discriminant analysis,\texttt{qda()}
lda(),479,479,15,Discriminant analysis,\texttt{lda()}
