"term","page","formatted"
"effect ordering","xii",NA
"visual thinning","xiii",NA
"matlib","xiii","\texttt{matlib} package"
"packages!matlib","xiii","packages!\texttt{matlib}"
"car","xiv","\texttt{car} package"
"packages!car","xiv","packages!\texttt{car}"
"ggplot2","xv","\texttt{ggplot2} package"
"packages!ggplot2","xv","packages!\texttt{ggplot2}"
"ggplot2","xv","\texttt{ggplot2} package"
"packages!ggplot2","xv","packages!\texttt{ggplot2}"
"ggplot2","xv","\texttt{ggplot2} package"
"packages!ggplot2","xv","packages!\texttt{ggplot2}"
"car","xvi","\texttt{car} package"
"packages!car","xvi","packages!\texttt{car}"
"heplots","xvi","\texttt{heplots} package"
"packages!heplots","xvi","packages!\texttt{heplots}"
"tinyplot","xvi","\texttt{tinyplot} package"
"packages!tinyplot","xvi","packages!\texttt{tinyplot}"
"ggplot2","xvi","\texttt{ggplot2} package"
"packages!ggplot2","xvi","packages!\texttt{ggplot2}"
"80-20 graphics rule","xvi",NA
"ggplot2","xvii","\texttt{ggplot2} package"
"packages!ggplot2","xvii","packages!\texttt{ggplot2}"
"ggplot2","xvii","\texttt{ggplot2} package"
"packages!ggplot2","xvii","packages!\texttt{ggplot2}"
"car","xvii","\texttt{car} package"
"packages!car","xvii","packages!\texttt{car}"
"matlib","xvii","\texttt{matlib} package"
"packages!matlib","xvii","packages!\texttt{matlib}"
"ggplot2","xvii","\texttt{ggplot2} package"
"packages!ggplot2","xvii","packages!\texttt{ggplot2}"
"Prestige","xvii","\texttt{Prestige} data"
"datasets!Prestige","xvii","datasets!\texttt{Prestige}"
"carData","xvii","\texttt{carData} package"
"packages!carData","xvii","packages!\texttt{carData}"
"Prestige","xvii","\texttt{Prestige} data"
"datasets!Prestige","xvii","datasets!\texttt{Prestige}"
"carData","xvii","\texttt{carData} package"
"packages!carData","xvii","packages!\texttt{carData}"
"car","xvii","\texttt{car} package"
"packages!car","xvii","packages!\texttt{car}"
"ggeda","xviii","\texttt{ggeda} package"
"packages!ggeda","xviii","packages!\texttt{ggeda}"
"tinytable","xviii","\texttt{tinytable} package"
"packages!tinytable","xviii","packages!\texttt{tinytable}"
"marginaleffects","xviii","\texttt{marginaleffects} package"
"packages!marginaleffects","xviii","packages!\texttt{marginaleffects}"
"tourr","xviii","\texttt{tourr} package"
"packages!tourr","xviii","packages!\texttt{tourr}"
"car","xviii","\texttt{car} package"
"packages!car","xviii","packages!\texttt{car}"
"effects","xviii","\texttt{effects} package"
"packages!effects","xviii","packages!\texttt{effects}"
"easystats","xviii","\texttt{easystats} package"
"packages!easystats","xviii","packages!\texttt{easystats}"
"ggeffects","xviii","\texttt{ggeffects} package"
"packages!ggeffects","xviii","packages!\texttt{ggeffects}"
"rgl","xviii","\texttt{rgl} package"
"packages!rgl","xviii","packages!\texttt{rgl}"
"knitr","xviii","\texttt{knitr} package"
"packages!knitr","xviii","packages!\texttt{knitr}"
"xfun","xviii","\texttt{xfun} package"
"packages!xfun","xviii","packages!\texttt{xfun}"
"tinytex","xviii","\texttt{tinytex} package"
"packages!tinytex","xviii","packages!\texttt{tinytex}"
"Flatland","6","\emph{Flatland}"
"Flatland","8","\emph{Flatland}"
"Pollen","9","\texttt{Pollen} data"
"datasets!Pollen","9","datasets!\texttt{Pollen}"
"HistData","9","\texttt{HistData} package"
"packages!HistData","9","packages!\texttt{HistData}"
"animation","9","\texttt{animation} package"
"packages!animation","9","packages!\texttt{animation}"
"rgl","9","\texttt{rgl} package"
"packages!rgl","9","packages!\texttt{rgl}"
"animation","9","\texttt{animation} package"
"packages!animation","9","packages!\texttt{animation}"
"scagnostics","9","\texttt{scagnostics} package"
"packages!scagnostics","9","packages!\texttt{scagnostics}"
"cassowaryr","9","\texttt{cassowaryr} package"
"packages!cassowaryr","9","packages!\texttt{cassowaryr}"
"PRIM-9","10",NA
"Structural equation model","15",NA
"lm()","17","\texttt{lm()}"
"data ellipse","18",NA
"HE plot","18",NA
"principal components analysis","18",NA
"canonical correlation","18",NA
"projection","18",NA
"tinytable","21","\texttt{tinytable} package"
"packages!tinytable","21","packages!\texttt{tinytable}"
"gt","21","\texttt{gt} package"
"packages!gt","21","packages!\texttt{gt}"
"pie chart","21",NA
"bar chart","21",NA
"line graph","21",NA
"scatterplot","21",NA
"visual thinking","21",NA
"Anscombe's quartet","22",NA
"quartet!Anscombe","22",NA
"anscombe","22","\texttt{anscombe} data"
"datasets!anscombe","22","datasets!\texttt{anscombe}"
"datasets","22","\texttt{datasets} package"
"packages!datasets","22","packages!\texttt{datasets}"
"ggplot()","23","\texttt{ggplot()}"
"stat_ellipse()","23","\texttt{stat\_ellipse()}"
"data ellipse","23",NA
"pure error","24",NA
"lack of fit","24",NA
"outliers","24",NA
"influence","24",NA
"datasaurus dozen","25",NA
"datasauRus","25","\texttt{datasauRus} package"
"packages!datasauRus","25","packages!\texttt{datasauRus}"
"datasauRus","25","\texttt{datasauRus} package"
"packages!datasauRus","25","packages!\texttt{datasauRus}"
"metamer","25","\texttt{metamer} package"
"packages!metamer","25","packages!\texttt{metamer}"
"causal analysis","25",NA
"quartets","26","\texttt{quartets} package"
"packages!quartets","26","packages!\texttt{quartets}"
"quartet!causal","26",NA
"quartet!Rashamon","26",NA
"Davis","26","\texttt{Davis} data"
"datasets!Davis","26","datasets!\texttt{Davis}"
"carData","26","\texttt{carData} package"
"packages!carData","26","packages!\texttt{carData}"
"influence","27",NA
"ggplot2","27","\texttt{ggplot2} package"
"packages!ggplot2","27","packages!\texttt{ggplot2}"
"influence","28",NA
"1970 draft lottery","28",NA
"Draft1970","29","\texttt{Draft1970} data"
"datasets!Draft1970","29","datasets!\texttt{Draft1970}"
"vcdExtra","29","\texttt{vcdExtra} package"
"packages!vcdExtra","29","packages!\texttt{vcdExtra}"
"1970 draft lottery","31",NA
"loess","31",NA
"smoother!loess","31",NA
"ggbreak","32","\texttt  {ggbreak} package"
"packages!ggbreak","32","packages!\texttt  {ggbreak}"
"sample()","34","\texttt{sample()}"
"data plots","35",NA
"reconnaissance plots","35",NA
"multivariate juicer","35",NA
"dimension reduction","35",NA
"canonical space","35",NA
"uncertainty","35",NA
"model plots","35",NA
"added-variable plots","35",NA
"effect plots","35",NA
"diagnostic plots","35",NA
"lm()","35","\texttt{lm()}"
"Tukey, John","41",NA
"quartet!Anscombe","41",NA
"scatterplot matrix","42",NA
"smoother","42",NA
"data ellipse","42",NA
"stratifier","42",NA
"uncertainty","42",NA
"Salaries","43","\texttt{Salaries} data"
"datasets!Salaries","43","datasets!\texttt{Salaries}"
"carData","43","\texttt{carData} package"
"packages!carData","43","packages!\texttt{carData}"
"smoother","44",NA
"ggplot2","44","\texttt{ggplot2} package"
"packages!ggplot2","44","packages!\texttt{ggplot2}"
"uncertainty","45",NA
"precision","45",NA
"smoother!non-parametric","45",NA
"loess","45",NA
"lowess","45",NA
"geom_smooth()","45","\texttt  {geom\_smooth()}"
"confidence!interval","45",NA
"confidence!band","45",NA
"confidence!pointwise","45",NA
"smoother","46",NA
"stratifier","47",NA
"shingle","47",NA
"visual thinking","47",NA
"trellis plots","48",NA
"lattice","48","\texttt{lattice} package"
"packages!lattice","48","packages!\texttt{lattice}"
"panel.smoother()","48","\texttt{panel.smoother()}"
"car","48","\texttt{car} package"
"packages!car","48","packages!\texttt{car}"
"ggplot2","48","\texttt{ggplot2} package"
"packages!ggplot2","48","packages!\texttt{ggplot2}"
"lme4","48","\texttt{lme4} package"
"packages!lme4","48","packages!\texttt{lme4}"
"nlme","48","\texttt{nlme} package"
"packages!nlme","48","packages!\texttt{nlme}"
"brms","48","\texttt{brms} package"
"packages!brms","48","packages!\texttt{brms}"
"mixed models","48",NA
"Formula","48","\texttt{Formula} package"
"packages!Formula","48","packages!\texttt{Formula}"
"ivreg","48","\texttt{ivreg} package"
"packages!ivreg","48","packages!\texttt{ivreg}"
"pscl","48","\texttt{pscl} package"
"packages!pscl","48","packages!\texttt{pscl}"
"geom_smooth()","48","\texttt{geom\_smooth()}"
"conditioning","51",NA
"faceting","51",NA
"facet_wrap()","51","\texttt{facet\_wrap()}"
"conditioning","52",NA
"stratifier","52",NA
"data ellipse","52",NA
"Mahalanobis distance","53",NA
"ellipse()","55","\texttt{ellipse()}"
"stat_ellipse()","55","\texttt{stat\_ellipse()}"
"ellipse.label()","55","\texttt{ellipse.label()}"
"plotmath()","56","\texttt{plotmath()}"
"principal components","57",NA
"ellipses","57",NA
"dataEllipse()","59","\texttt{dataEllipse()}"
"scatterplot()","59","\texttt{scatterplot()}"
"car","59","\texttt{car} package"
"packages!car","59","packages!\texttt{car}"
"dataEllipse()","59","\texttt{dataEllipse()}"
"covEllipses()","59","\texttt{covEllipses()}"
"stat_ellipse()","60","\texttt{stat\_ellipse()}"
"dataEllipse()","60","\texttt{dataEllipse()}"
"Prestige","60","\texttt{Prestige} data"
"datasets!Prestige","60","datasets!\texttt{Prestige}"
"scatterplot()","60","\texttt{scatterplot()}"
"stratifier","63",NA
"stratifier","64",NA
"palmerpenguins","65","\texttt{palmerpenguins} package"
"packages!palmerpenguins","65","packages!\texttt{palmerpenguins}"
"peng","65","\texttt{peng} data"
"datasets!peng","65","datasets!\texttt{peng}"
"heplots","65","\texttt{heplots} package"
"packages!heplots","65","packages!\texttt{heplots}"
"penguins","66","\texttt  {penguins} data"
"datasets!penguins","66","datasets!\texttt  {penguins}"
"datasets","66","\texttt  {datasets} package"
"packages!datasets","66","packages!\texttt  {datasets}"
"peng","66","\texttt  {peng} data"
"datasets!peng","66","datasets!\texttt  {peng}"
"heplots","66","\texttt  {heplots} package"
"packages!heplots","66","packages!\texttt  {heplots}"
"theme_penguins()","68","\texttt{theme\_penguins()}"
"legend_inside()","68","\texttt{legend\_inside()}"
"visual thinning","68",NA
"data ellipse","69",NA
"visual thinning","69",NA
"bagplot","70",NA
"depth","70",NA
"gggda","70","\texttt{gggda} package"
"packages!gggda","70","packages!\texttt{gggda}"
"stat_bagplot()","70","\texttt{stat\_bagplot()}"
"outliers","70",NA
"bagplot","70",NA
"non-parametric!bivariate density plot","71",NA
"bivariate density plot","71",NA
"density()","71","\texttt{density()}"
"geom_density()","71","\texttt{geom\_density()}"
"kde2d()","71","\texttt{kde2d()}"
"geom_density_2d()","71","\texttt{geom\_density\_2d()}"
"kde2d()","71","\texttt{kde2d()}"
"ggdensity","71","\texttt{ggdensity} package"
"packages!ggdensity","71","packages!\texttt{ggdensity}"
"geom_hdr()","71","\texttt{geom\_hdr()}"
"high density region","71",NA
"geom_density_2d()","71","\texttt{geom\_density\_2d()}"
"geom_hdr()","71","\texttt{geom\_hdr()}"
"non-parametric!bivariate density plot","72",NA
"bivariate density plot","72",NA
"Simpson's paradox","73",NA
"Simpson's paradox","74",NA
"multivariate normality","74",NA
"outliers","74",NA
"$\chi^2$ QQ plot","74",NA
"Mahalanobis()","75","\texttt{Mahalanobis()}"
"cqplot()","75","\texttt{cqplot()}"
"uncertainty","76",NA
"geom_text()","78","\texttt{geom\_text()}"
"multivariate normality","80",NA
"outliers","80",NA
"scatterplot matrix","80",NA
"scatterplotMatrix()","80","\texttt{scatterplotMatrix()}"
"hue_pal()","81","\texttt{hue\_pal()}"
"visual thinning","85",NA
"visual thinning","85",NA
"scatterplot matrix","85",NA
"corrgram","86",NA
"corrgram","87","\texttt{corrgram} package"
"packages!corrgram","87","packages!\texttt{corrgram}"
"corrplot","87","\texttt{corrplot} package"
"packages!corrplot","87","packages!\texttt{corrplot}"
"corrgram()","87","\texttt{corrgram()}"
"corrplot","87","\texttt{corrplot} package"
"packages!corrplot","87","packages!\texttt{corrplot}"
"corrgram","90",NA
"scatterplot matrix!generalized","90",NA
"vcd","90","\texttt{vcd} package"
"packages!vcd","90","packages!\texttt{vcd}"
"vcdExtra","90","\texttt{vcdExtra} package"
"packages!vcdExtra","90","packages!\texttt{vcdExtra}"
"pairs()","90","\texttt{pairs()}"
"GGally","92","\texttt{GGally} package"
"packages!GGally","92","packages!\texttt{GGally}"
"Simpson's paradox","92",NA
"ggpairs()","93","\texttt{ggpairs()}"
"ggally_cor()","93","\texttt{ggally\_cor()}"
"ggally_points()","94","\texttt{ggally\_points()}"
"ggally_densityDiag()","94","\texttt{ggally\_densityDiag()}"
"ggally_barDiag()","94","\texttt{ggally\_barDiag()}"
"scatterplot matrix!generalized","95",NA
"parallel coordinate plots","95",NA
"ggpcp","96","\texttt{ggpcp} package"
"packages!ggpcp","96","packages!\texttt{ggpcp}"
"pcp_select()","97","\texttt{pcp\_select()}"
"pcp_scale()","97","\texttt{pcp\_scale()}"
"pcp_arrange()","97","\texttt{pcp\_arrange()}"
"parcoord()","97","\texttt  {parcoord()}"
"ggparcoord()","97","\texttt  {ggparcoord()}"
"pcp()","97","\texttt  {pcp()}"
"ggpcp","97","\texttt  {ggpcp} package"
"packages!ggpcp","97","packages!\texttt  {ggpcp}"
"ordering!variables","98",NA
"parallel coordinate plots","98",NA
"outliers","99",NA
"clusters","99",NA
"PRIM-9","99",NA
"grand tour","99",NA
"projection","100",NA
"len()","103","\texttt{len()}"
"biplot","104",NA
"projection","104",NA
"grand tour","105",NA
"guided tour","105",NA
"projection pursuit","105",NA
"tourr","106","\texttt{tourr} package"
"packages!tourr","106","packages!\texttt{tourr}"
"tourr","106","\texttt{tourr} package"
"packages!tourr","106","packages!\texttt{tourr}"
"Mahalanobis distance","107",NA
"guided tour","107",NA
"animation!grand tour","108",NA
"tourr","110","\texttt{tourr} package"
"packages!tourr","110","packages!\texttt{tourr}"
"liminal","110","\texttt{liminal} package"
"packages!liminal","110","packages!\texttt{liminal}"
"loon","110","\texttt{loon} package"
"packages!loon","110","packages!\texttt{loon}"
"network diagram","110",NA
"bfi","110","\texttt{bfi} data"
"datasets!bfi","110","datasets!\texttt{bfi}"
"psych","110","\texttt{psych} package"
"packages!psych","110","packages!\texttt{psych}"
"graphical LASSO","111",NA
"igraph","112","\texttt{igraph} package"
"packages!igraph","112","packages!\texttt{igraph}"
"ggraph","112","\texttt{ggraph} package"
"packages!ggraph","112","packages!\texttt{ggraph}"
"qgraph","112","\texttt{qgraph} package"
"packages!qgraph","112","packages!\texttt{qgraph}"
"network diagram","113",NA
"partial correlation","113",NA
"graphical gaussian model","113",NA
"conditional independence","113",NA
"precision matrix","114",NA
"partial correlation!visualization","114",NA
"partial variables plot","114",NA
"dataEllipse()","115","\texttt{dataEllipse()}"
"partial variables plot","116",NA
"partial correlation","116",NA
"Flatland","119","\emph{Flatland}"
"multivariate juicer","120",NA
"data space","120",NA
"projection","120",NA
"principal components analysis","120",NA
"biplot","120",NA
"multivariate juicer","121",NA
"principal components analysis","122",NA
"PCA","122",NA
"principal components analysis!springs","124",NA
"principal components analysis!geometry","125",NA
"workers","126","\texttt{workers} data"
"datasets!workers","126","datasets!\texttt{workers}"
"matlib","128","\texttt{matlib} package"
"packages!matlib","128","packages!\texttt{matlib}"
"ellipse.axes()","129","\texttt{ellipse.axes()}"
"prcomp()","130","\texttt{prcomp()}"
"princomp()","130","\texttt{princomp()}"
"PCA()","130","\texttt{PCA()}"
"FactoMineR","130","\texttt{FactoMineR} package"
"packages!FactoMineR","130","packages!\texttt{FactoMineR}"
"tidy()","133","\texttt{tidy()}"
"plot()","133","\texttt{plot()}"
"ggscreeplot()","133","\texttt{ggscreeplot()}"
"augment()","135","\texttt{augment()}"
"coord_fixed()","135","\texttt{coord\_fixed()}"
"geom_segment()","137","\texttt{geom\_segment()}"
"geom_text()","137","\texttt{geom\_text()}"
"coord_fixed()","137","\texttt{coord\_fixed()}"
"principal components analysis","139",NA
"biplot","139",NA
"singular value decomposition","140",NA
"SVD","140",NA
"biplot()","141","\texttt{biplot()}"
"factoextra","142","\texttt{factoextra} package"
"packages!factoextra","142","packages!\texttt{factoextra}"
"FactoMineR","142","\texttt{FactoMineR} package"
"packages!FactoMineR","142","packages!\texttt{FactoMineR}"
"fviz_pca()","142","\texttt{fviz\_pca()}"
"fviz_ca()","142","\texttt{fviz\_ca()}"
"fviz_mca()","142","\texttt{fviz\_mca()}"
"fviz_famd()","142","\texttt{fviz\_famd()}"
"fviz_cluster()","142","\texttt{fviz\_cluster()}"
"adegraphics","142","\texttt{adegraphics} package"
"packages!adegraphics","142","packages!\texttt{adegraphics}"
"lattice","142","\texttt{lattice} package"
"packages!lattice","142","packages!\texttt{lattice}"
"ggbiplot","142","\texttt{ggbiplot} package"
"packages!ggbiplot","142","packages!\texttt{ggbiplot}"
"factoextra","142","\texttt{factoextra} package"
"packages!factoextra","142","packages!\texttt{factoextra}"
"get_pca_var()","145","\texttt{get\_pca\_var()}"
"fviz_contrib()","145","\texttt{fviz\_contrib()}"
"fviz_cos2()","145","\texttt{fviz\_cos2()}"
"PCA()","148","\texttt{PCA()}"
"plot()","149","\texttt{plot()}"
"fviz_pca_var()","149","\texttt{fviz\_pca\_var()}"
"fviz_pca_biplot()","149","\texttt{fviz\_pca\_biplot()}"
"plot()","149","\texttt{plot()}"
"Diabetes","150","\texttt{Diabetes} data"
"datasets!Diabetes","150","datasets!\texttt{Diabetes}"
"scatter3d()","150","\texttt{scatter3d()}"
"PRIM-9","150",NA
"scatter3d()","150","\texttt{scatter3d()}"
"rgl","150","\texttt{rgl} package"
"packages!rgl","150","packages!\texttt{rgl}"
"spin3d()","150","\texttt{spin3d()}"
"PRIM-9","151",NA
"geom_label()","152","\texttt{geom\_label()}"
"biplot","153",NA
"multidimensional scaling","153",NA
"MDS","153",NA
"dist()","154","\texttt{dist()}"
"isoMDS()","154","\texttt{isoMDS()}"
"vegan","154","\texttt  {vegan} package"
"packages!vegan","154","packages!\texttt  {vegan}"
"metaMDS()","154","\texttt  {metaMDS()}"
"ggscatter()","155","\texttt{ggscatter()}"
"multidimensional scaling","156",NA
"t-SNE","156",NA
"Rtsne","158","\texttt{Rtsne} package"
"packages!Rtsne","158","packages!\texttt{Rtsne}"
"Rtsne()","158","\texttt{Rtsne()}"
"gganimate","160","\texttt{gganimate} package"
"packages!gganimate","160","packages!\texttt{gganimate}"
"transition_states()","160","\texttt{transition\_states()}"
"t-SNE","161",NA
"effect ordering","161",NA
"ordering!variables","161",NA
"seriation","161","\texttt  {seriation} package"
"packages!seriation","161","packages!\texttt  {seriation}"
"corrRect()","163","\texttt{corrRect()}"
"effect ordering","164",NA
"ordering!variables","164",NA
"eigenfaces","164",NA
"load.image()","166","\texttt{load.image()}"
"pivot_wider()","167","\texttt{pivot\_wider()}"
"approx_pca()","168","\texttt{approx\_pca()}"
"approx_pca()","169","\texttt{approx\_pca()}"
"geom_raster()","169","\texttt{geom\_raster()}"
"facet_wrap()","169","\texttt{facet\_wrap()}"
"eigenfaces","170",NA
"outliers","171",NA
"interpPlot()","171","\texttt{interpPlot()}"
"outliers","174",NA
"lm()","179","\texttt{lm()}"
"lm()","179","\texttt{lm()}"
"glm()","179","\texttt{glm()}"
"general linear model","182",NA
"general linear model","183",NA
"model formulas","183",NA
"lm()","183","\texttt{lm()}"
"glm()","183","\texttt{glm()}"
"I()","184","\texttt{I()}"
"poly()","184","\texttt{poly()}"
"model formulas","184",NA
"geom_smooth()","184","\texttt{geom\_smooth()}"
"poly()","185","\texttt{poly()}"
"poly()","185","\texttt{poly()}"
"model formulas!factors","186",NA
"factors","186",NA
"model formulas!crossing","186",NA
"model formulas!powers","186",NA
"terms()","187","\texttt{terms()}"
"model formulas!model matrices","187",NA
"lm()","187","\texttt{lm()}"
"factors","189",NA
"contrasts","189",NA
"codingMatrices","189","\texttt{codingMatrices} package"
"packages!codingMatrices","189","packages!\texttt{codingMatrices}"
"contrasts()","189","\texttt{contrasts()}"
"relevel()","189","\texttt{relevel()}"
"reorder()","189","\texttt{reorder()}"
"contrasts!treatment coding","190",NA
"contrasts!treatment coding","191",NA
"contrasts!deviation coding","191",NA
"contrasts!deviation coding","191",NA
"contrasts!Helmert","191",NA
"Helmert contrasts","191",NA
"factors!ordered","191",NA
"contrasts!polynomial","192",NA
"contrasts!polynomial","193",NA
"contrasts!orthogonal","194",NA
"contrasts!nested dichotomies","194",NA
"contrasts","196",NA
"coefficient plots","197",NA
"added-variable plots","197",NA
"collinearity","198",NA
"car","198","\texttt{car} package"
"packages!car","198","packages!\texttt{car}"
"regression quartet","198",NA
"quartet!regression","198",NA
"car","199","\texttt{car} package"
"packages!car","199","packages!\texttt{car}"
"performance","199","\texttt{performance} package"
"packages!performance","199","packages!\texttt{performance}"
"easystats","199","\texttt{easystats} package"
"packages!easystats","199","packages!\texttt{easystats}"
"regression quartet","199",NA
"quartet!regression","199",NA
"Duncan occupational prestige","199",NA
"model_parameters()","200","\texttt{model\_parameters()}"
"linearHypothesis()","200","\texttt{linearHypothesis()}"
"Wald test","201",NA
"Duncan occupational prestige","202",NA
